"RefDes","Name","Pattern","Origin X (mm)","Origin Y (mm)","Side","Rotate","Value"
"C1","C-USC0603","CAP_0603","52.438","21.394","Top","0.0","470n"
"C2","C-USC0603","CAP_0603","59.038","70.474","Top","270.0","470n"
"C3","C-USC0603","CAP_0603","51.97","56.522","Top","0.0","100n"
"C4","C-USC0603","CAP_0603","42.719","21.053","Top","180.0","100p"
"C5","C-USC0603","CAP_0603","31.587","19.764","Top","180.0","100n"
"C6","C-USC0603","CAP_0603","58.334","15.215","Top","0.0","100p"
"C7","C-USC0603","CAP_0603","51.398","32.347","Top","0.0","100n"
"C8","CPOL-USB","CAP_1206","58.66","58.633","Top","270.0","10u"
"C9","CPOL-USB","CAP_1206","50.281","46.003","Top","0.0","10u"
"C10","C-USC0603","CAP_0603","41.68","29.247","Top","180.0","100p"
"C11","C-USC0603","CAP_0603","49.602","48.595","Top","180.0","100n"
"C12","C-USC0603","CAP_0603","54.433","26.612","Top","0.0","100p"
"C13","C-USC0603","CAP_0603","43.842","64.041","Top","90.0","100n"
"C14","C-USC0603","CAP_0603","49.645","70.307","Top","90.0","100n"
"C15","C-USC0603","CAP_0603","22.06","59.123","Top","180.0","100n"
"C16","C-USC0603","CAP_0603","12.094","52.872","Top","180.0","18p"
"C17","C-USC0603","CAP_0603","18.405","58.08","Top","0.0","18p"
"C18","EEE-FT1V470AR ","CAPAE-5.3x5.3h7","41.858","75.602","Top","180.0","47u"
"C19","EEE-FT1V470AR ","CAPAE-5.3x5.3h7","29.286","75.632","Top","0.0","47u"
"C20","C-USC0603","CAP_0603","17.935","49.661","Top","0.0","100n"
"C21","C-USC0603","CAP_0603","46.611","70.353","Top","90.0","100n"
"C22","C-USC0603","CAP_0603","32.134","57.04","Top","0.0","100n"
"C23","C-USC0603","CAP_0603","27.972","21.478","Top","180.0","100p"
"C24","C-USC0603","CAP_0603","52.397","18.708","Top","0.0","100n"
"C25","CPOL-USB","CAP_1206","29.935","45.147","Top","180.0","10u"
"C26","C-USC0603","CAP_0603","39.293","17.289","Top","0.0","100p"
"C27","C-USC0603","CAP_0603","49.963","43.114","Top","0.0","100n"
"C28","CPOL-USB","CAP_1206","40.235","45.629","Top","180.0","10u"
"C29","C-USC0603","CAP_0603","41.242","42.633","Top","180.0","100p"
"C30","C-USC0603","CAP_0603","30.955","49.107","Top","180.0","100n"
"C31","C-USC0603","CAP_0603","54.27","39.357","Top","0.0","100p"
"C32","C-USC0603","CAP_0603","48.193","86.664","Top","270.0","470n"
"C33","C-USC0603","CAP_0603","32.998","84.975","Top","270.0","1u"
"C34","C-USC0603","CAP_0603","34.226","91.686","Top","0.0","100n"
"C35","C-USC0603","CAP_0603","53.484","84.678","Top","270.0","1u"
"C36","C-USC0603","CAP_0603","35.2","108.073","Top","90.0","100n"
"C37","C-USC0603","CAP_0603","51.097","84.582","Top","270.0","100n"
"C38","EEE-FT1V470AR ","CAPAE-5.3x5.3h7","54.312","107.3","Top","90.0","47u"
"C39","EEE-FT1V470AR ","CAPAE-5.3x5.3h7","29.069","107.235","Top","90.0","47u"
"C40","C-USC0603","CAP_0603","18.649","82.037","Top","270.0","100n"
"C41","C-USC0603","CAP_0603","47.981","94.563","Top","270.0","100n"
"C42","C-USC0603","CAP_0603","11.307","92.232","Top","90.0","18p"
"C43","C-USC0603","CAP_0603","13.835","83.082","Top","270.0","100n"
"C44","C-USC0603","CAP_0603","11.313","88.184","Top","270.0","18p"
"C45","C-USC0603","CAP_0603","18.227","94.703","Top","270.0","100n"
"C46","C-USC0603","CAP_0603","19.668","101.559","Top","270.0","100n"
"C48","C-USC0603","CAP_0603","21.915","47.719","Top","180.0","100n"
"C49","C-USC0603","CAP_0603","20.708","34.581","Top","180.0","100n"
"C50","CPOL-USB","CAP_0805","28.736","34.082","Top","0.0","1u"
"D1","DIODE-SOD123","SOD123","58.843","100.452","Top","270.0","1N5819HW"
"D2","DIODE-SOD123","SOD-123F","11.978","27.303","Top","270.0","1N4148"
"D3","DIODE-SOD123","SOD-123F","12.047","33.02","Top","270.0","1N4148"
"D4","DIODE-SOD123","SOD-123F","14.498","29.718","Top","90.0","1N4148"
"D5","DIODE-SOD123","SOD-123F","11.969","38.523","Top","90.0","1N4148"
"D7","MB1S","SOP-4/6.5x2.54","55.078","78.66","Top","90.0","MB1S"
"IC1","LM4041C12DBZ","SOT23","56.303","67.618","Top","180.0","LM4040 10V"
"IC2","TL072D","SO08","50.58","52.627","Top","270.0","TL072D"
"IC3","TL072D","SO08","50.48","15.285","Top","270.0","MCP6002"
"IC4","TL072D","SO08","48.038","28.733","Top","270.0","MCP6002"
"IC5","74AHC1G125GV","SOT23-5","52.534","67.648","Top","270.0",""
"IC6","74AHC1G86DBV","SOT23-5","40.496","59.362","Top","270.0","74AHC1G86DBV"
"IC7","TL072D","SO08","19.17","53.67","Top","270.0","TL072D"
"IC8","74AHC1G86DBV","SOT23-5","41.953","67.807","Top","270.0","74AHC1G86DBV"
"IC9","TL072D","SO08","32.742","52.806","Top","270.0","TL072D"
"IC10","TL072D","SO08","33.377","15.615","Top","270.0","MCP6002"
"IC11","LM4041B12DBZ","SOT23","47.031","82.639","Top","0.0","LM4040B25"
"IC12","TL072D","SO08","47.55","39.377","Top","270.0","MCP6002"
"IC13","MCP3208","SO16","39.271","84.498","Top","0.0","MCP3208"
"IC14","REG1117","SOT223","41.795","105.661","Top","0.0","LM1117-3.3"
"IC15","MCP4822SO08","SO08","51.396","91.329","Top","0.0","MCP4822"
"IC16","AVR_XMEGA_A4_44A","TQFP44","24.809","88.198","Top","90.0","ATXMEGA32A4U-AU"
"IC17","M74HC4024M1R","SOIC-14/150mil","20.045","41.841","Top","0.0",""
"IC18","74LS86D","SOIC-14/150mil","19.959","28.527","Top","0.0","74LS86D"
"IC19","LM321MF","SOT23-5","31.589","40.957","Top","0.0",""
"J1","Thonkiconn","Thonkiconn Jack","55.576","28.105","Bottom","0.0",""
"J2","PJ301_THONKICONN6","Thonkiconn","55.576","16.139","Bottom","180.0","PJ301_THONKICONN6"
"J3","PJ301_THONKICONN6","Thonkiconn","55.576","40.012","Bottom","180.0","PJ301_THONKICONN6"
"J4","PJ301_THONKICONN6","Thonkiconn","55.576","52.077","Bottom","0.0","PJ301_THONKICONN6"
"J5","Thonkiconn","Thonkiconn Jack","45.416","28.105","Bottom","0.0",""
"J6","PJ301_THONKICONN6","Thonkiconn","45.416","16.139","Bottom","180.0","PJ301_THONKICONN6"
"J7","PJ301_THONKICONN6","Thonkiconn","45.416","40.012","Bottom","180.0","PJ301_THONKICONN6"
"J8","PJ301_THONKICONN6","Thonkiconn","45.416","52.077","Bottom","0.0","PJ301_THONKICONN6"
"J9","Thonkiconn","Thonkiconn Jack","35.256","28.105","Bottom","0.0",""
"J10","PJ301_THONKICONN6","Thonkiconn","35.256","16.139","Bottom","180.0","PJ301_THONKICONN6"
"J11","PJ301_THONKICONN6","Thonkiconn","35.256","40.012","Bottom","180.0","PJ301_THONKICONN6"
"J12","PJ301_THONKICONN6","Thonkiconn","35.256","52.077","Bottom","0.0","PJ301_THONKICONN6"
"J13","Thonkiconn","Thonkiconn Jack","25.096","28.105","Bottom","0.0",""
"J14","PJ301_THONKICONN6","Thonkiconn","25.096","16.139","Bottom","180.0","PJ301_THONKICONN6"
"J15","PJ301_THONKICONN6","Thonkiconn","25.096","40.012","Bottom","180.0","PJ301_THONKICONN6"
"J16","PJ301_THONKICONN6","Thonkiconn","25.096","52.077","Bottom","0.0","PJ301_THONKICONN6"
